ts,final_label,rf_label,rf_conf,if_score,route,unsup_verdict,thr_in,thr_out,conf_gate,is_partial,src_ip,src_port,dst_ip,dst_port,latency_ms
1757675718.487953,Unknown/Anomaly,Benign,0.740000,0.338139,routed_to_IF_outlier,outlier,0.389098,0.389098,0.750,0,10.128.0.5,22,35.235.244.32,33207,
1757675722.636317,Benign,Benign,1.000000,0.398794,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,50125,169.254.169.254,53,
1757675722.669612,Benign,Benign,1.000000,0.397244,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,58503,169.254.169.254,53,
1757675722.703378,Benign,Benign,1.000000,0.182361,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,58616,74.125.132.95,443,
1757675724.648392,Benign,Benign,1.000000,0.383305,rf_confident,inlier,0.379100,0.379100,0.750,1,35.235.245.128,36155,10.128.0.5,22,
1757675724.683553,Benign,Benign,0.990000,0.228814,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34580,
1757675724.720558,Benign,Benign,1.000000,0.227127,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34576,
1757675743.156603,Unknown/Anomaly,Benign,0.600000,0.307245,routed_to_IF_outlier,outlier,0.389098,0.389098,0.750,0,10.128.0.5,22,35.235.244.32,33207,
1757675746.185162,Benign,Benign,0.990000,0.379359,rf_confident,outlier,0.389098,0.389098,0.750,0,103.246.42.72,48212,10.128.0.5,22,
1757675752.662240,Benign,Benign,1.000000,0.356525,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,58616,74.125.132.95,443,
1757675756.666224,Benign,Benign,1.000000,0.384386,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34580,169.254.169.254,80,
1757675756.701517,Benign,Benign,1.000000,0.383915,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34576,169.254.169.254,80,
1757675770.670908,Benign,Benign,1.000000,0.383305,rf_confident,inlier,0.379100,0.379100,0.750,1,35.235.245.128,36155,10.128.0.5,22,
1757675774.674807,Benign,Benign,1.000000,0.034865,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,51714,142.250.152.95,443,
1757675783.016692,Benign,Benign,1.000000,0.328407,rf_confident,outlier,0.389098,0.389098,0.750,0,35.235.245.128,36155,10.128.0.5,22,
1757675786.682204,Benign,Benign,1.000000,0.241324,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34580,
1757675786.716357,Benign,Benign,1.000000,0.239067,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34576,
1757675804.547093,Unknown/Anomaly,Benign,0.610000,0.305980,routed_to_IF_outlier,outlier,0.389098,0.389098,0.750,0,10.128.0.5,22,35.235.244.32,33207,
1757675807.525941,Benign,Benign,0.960000,0.366009,rf_confident,outlier,0.389098,0.389098,0.750,0,193.46.255.20,64676,10.128.0.5,22,
1757675816.693187,Benign,Benign,1.000000,0.383637,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34576,169.254.169.254,80,
1757675816.728618,Benign,Benign,1.000000,0.383885,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,34580,169.254.169.254,80,
1757675816.766142,Benign,Benign,1.000000,0.361133,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,42730,74.125.202.95,443,
1757675819.898015,Benign,Benign,0.990000,0.387055,rf_confident,outlier,0.389098,0.389098,0.750,0,193.46.255.20,61846,10.128.0.5,22,
1757675828.999290,Benign,Benign,0.960000,0.366345,rf_confident,outlier,0.389098,0.389098,0.750,0,193.46.255.20,48748,10.128.0.5,22,
1757675830.702212,Benign,Benign,0.990000,0.128351,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,22,193.46.255.20,64676,
1757675832.149249,Benign,Benign,0.990000,0.364373,rf_confident,outlier,0.389098,0.389098,0.750,0,103.246.42.72,46162,10.128.0.5,22,
1757675835.221206,Benign,Benign,0.970000,0.309733,rf_confident,outlier,0.389098,0.389098,0.750,0,10.128.0.5,22,193.46.255.20,48748,
1757675836.706614,Benign,Benign,1.000000,0.028618,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,51714,142.250.152.95,443,
1757675842.710969,Benign,Benign,1.000000,0.302744,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,22,193.46.255.20,61846,
1757675842.744450,Benign,Benign,1.000000,0.396700,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,35372,169.254.169.254,53,
1757675842.775939,Benign,Benign,1.000000,0.397244,rf_confident,inlier,0.379100,0.379100,0.750,1,10.128.0.5,43131,169.254.169.254,53,
1757675842.800442,Benign,Benign,0.990000,0.186079,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,55030,74.125.132.95,443,
1757675844.725008,Benign,Benign,1.000000,0.221749,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34576,
1757675844.757969,Benign,Benign,1.000000,0.243855,rf_confident,outlier,0.379100,0.379100,0.750,1,169.254.169.254,80,10.128.0.5,34580,
1757675850.731587,Benign,Benign,1.000000,0.284466,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,22,103.246.42.72,46162,
1757675868.726556,Benign,Benign,0.770000,0.354536,rf_confident,outlier,0.379100,0.379100,0.750,1,10.128.0.5,22,35.235.244.32,33207,
1757675872.089910,Benign,Benign,0.940000,0.314759,rf_confident,outlier,0.389098,0.389098,0.750,0,35.235.244.32,33207,10.128.0.5,22,
