ingest_ts,decision_ts,latency_ms,route,is_partial,final_label
1757702596757,1757702596840,83,rf_confident,0,Benign
1757702597263,1757702597341,78,rf_confident,0,Benign
1757702597768,1757702597842,74,rf_confident,0,Benign
1757702598274,1757702598342,68,rf_confident,0,Benign
1757702598779,1757702598843,64,rf_confident,0,Benign
1757702599285,1757702599344,59,rf_confident,0,Benign
1757702599790,1757702599845,55,rf_confident,0,Benign
1757702600296,1757702600346,50,rf_confident,0,Benign
1757702600802,1757702600846,44,rf_confident,0,Benign
1757702603415,1757702603601,186,rf_confident,0,Benign
1757702603921,1757702604103,182,rf_confident,0,Benign
1757702604426,1757702604604,178,rf_confident,0,Benign
1757702604931,1757702605105,174,rf_confident,0,Benign
1757702605436,1757702605606,170,rf_confident,0,Benign
1757702605941,1757702606107,166,rf_confident,0,Benign
1757702606447,1757702606608,161,rf_confident,0,Benign
1757702606952,1757702607109,157,rf_confident,0,Benign
1757702607458,1757702607611,153,rf_confident,0,Benign
1757702607963,1757702608111,148,rf_confident,0,Benign
1757702613313,1757702613374,61,rf_confident,0,Benign
1757702613819,1757702613875,56,rf_confident,0,Benign
1757702614325,1757702614376,51,rf_confident,0,Benign
1757702614831,1757702614877,46,rf_confident,0,Benign
1757702615337,1757702615378,41,rf_confident,0,Benign
1757702615842,1757702615879,37,rf_confident,0,Benign
1757702616348,1757702616380,32,rf_confident,0,Benign
1757702616853,1757702616881,28,rf_confident,0,Benign
1757702617357,1757702617382,25,rf_confident,0,Benign
1757702617862,1757702617883,21,rf_confident,0,Benign
1757702621308,1757702621387,79,rf_confident,0,Benign
1757702621813,1757702621888,75,rf_confident,0,Benign
1757702622318,1757702622388,70,rf_confident,0,Benign
1757702622823,1757702622889,66,rf_confident,0,Benign
1757702623328,1757702623390,62,rf_confident,0,Benign
1757702623833,1757702623891,58,rf_confident,0,Benign
1757702624338,1757702624392,54,rf_confident,0,Benign
1757702624843,1757702624892,49,rf_confident,0,Benign
1757702625348,1757702625393,45,rf_confident,0,Benign
1757702625854,1757702625897,43,rf_confident,0,Benign
1757702645830,1757702645923,93,rf_confident,0,Benign
1757702646335,1757702646424,89,rf_confident,0,Benign
1757702646841,1757702646925,84,rf_confident,0,Benign
1757702647346,1757702647426,80,rf_confident,0,Benign
1757702647852,1757702647927,75,rf_confident,0,Benign
1757702648359,1757702648428,69,rf_confident,0,Benign
1757702648866,1757702648929,63,rf_confident,0,Benign
1757702649373,1757702649429,56,rf_confident,0,Benign
1757702649879,1757702649930,51,rf_confident,0,Benign
1757702650391,1757702650431,40,rf_confident,0,Benign
1757702657233,1757702657442,209,rf_confident,0,Benign
1757702657739,1757702657943,204,rf_confident,0,Benign
1757702658245,1757702658444,199,rf_confident,0,Benign
1757702658750,1757702658945,195,rf_confident,0,Benign
1757702659256,1757702659447,191,rf_confident,0,Benign
1757702659762,1757702659948,186,rf_confident,0,Benign
1757702660267,1757702660449,182,rf_confident,0,Benign
1757702660772,1757702660950,178,rf_confident,0,Benign
1757702661278,1757702661451,173,rf_confident,0,Benign
1757702661783,1757702661951,168,rf_confident,0,Benign
1757702663431,1757702663453,22,rf_confident,0,Benign
1757702663936,1757702663954,18,rf_confident,0,Benign
1757702664441,1757702664455,14,rf_confident,0,Benign
1757702664947,1757702664956,9,rf_confident,0,Benign
1757702665452,1757702665456,4,rf_confident,0,Benign
1757702665958,1757702666207,249,rf_confident,0,Benign
1757702666463,1757702666708,245,rf_confident,0,Benign
1757702666968,1757702667209,241,rf_confident,0,Benign
1757702667474,1757702667710,236,rf_confident,0,Benign
1757702667979,1757702668211,232,rf_confident,0,Benign
1757702668485,1757702668711,226,rf_confident,0,Benign
1757702668990,1757702669212,222,rf_confident,0,Benign
1757702669496,1757702669713,217,rf_confident,0,Benign
