variant,precision,recall,f1,accuracy
U-binary,0.7664173291491734,0.6604429005644811,0.6161254715536735,0.6604429005644811
S,0.9985211185211185,0.9968421052631579,0.9976668915761151,0.998697351280938
H,0.9985211185211185,0.9968421052631579,0.9976668915761151,0.998697351280938
