,TN,FP,FN,TP,Total,Accuracy,Precision_U,Recall_U,F1_U,FPR_on_Benign
S,100.0,0.0,1.0,0.0,101.0,0.9901,,0.0,,0.0
H,100.0,0.0,1.0,0.0,101.0,0.9901,,0.0,,0.0
U,0.0,100.0,0.0,1.0,101.0,0.0099,0.0099,1.0,0.0196,1.0
