,pred:Benign,pred:Brute Force (Hydra),pred:Brute Force (Medusa),pred:Deniel of Service (DoS),pred:Unknown
true:Benign,441,1,4,10,11
true:Brute Force (Hydra),1,88,11,5,0
true:Brute Force (Medusa),0,3,121,0,0
true:Deniel of Service (DoS),0,1,0,124,1
true:Unknown,4,1,0,4,164
