src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,is_partial,Label
10.128.0.8,10.128.0.5,39414,443,6,0.008042,11,0,2702,3193,1746,54,245.63636363636363,479.0549926161017,0,0,0.0,0.0,733026.6102959462,2362.596369062422,0.0004467777777777,0.000388501044694,0.001426,0,0.008042,0.0008042,0.0006386909737893,0.002341,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1367.8189505098233,0.0,54,1746,310.2631578947368,470.39589620762536,221272.29916897503,2,3,2,8,15,0,0,0,0.7272727272727273,310.2631578947368,245.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2702,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39424,443,6,0.007903,11,0,2702,3193,1746,54,245.63636363636363,479.0549926161017,0,0,0.0,0.0,745919.2711628495,2404.15032266228,0.0004390555555555,0.0004099770281128,0.001351,0,0.007903,0.0007902999999999,0.0005787201482582,0.002154,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1391.8765025939515,0.0,54,1746,310.2631578947368,470.39589620762536,221272.29916897503,2,3,2,8,15,0,0,0,0.7272727272727273,310.2631578947368,245.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2702,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39428,443,6,0.008147,11,0,2706,3193,1746,54,246.0,479.0900465750387,0,0,0.0,0.0,724070.2098932123,2332.1468025039894,0.0004526111111111,0.000418443563019,0.001419,0,0.008147,0.0008147,0.0006505158030363,0.00231,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1350.1902540812569,0.0,54,1746,310.4736842105263,470.387675324251,221264.5650969529,2,3,2,8,15,0,0,0,0.7272727272727273,310.4736842105263,246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2706,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39430,443,6,0.008385,11,0,2702,3193,1746,54,245.63636363636363,479.0549926161017,0,0,0.0,0.0,703041.14490161,2265.9511031604056,0.0004658333333333,0.0004352599797821,0.001355,0,0.008385,0.0008385,0.0006405281024279,0.002369,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1311.8664281454978,0.0,54,1746,310.2631578947368,470.39589620762536,221272.29916897503,2,3,2,8,15,0,0,0,0.7272727272727273,310.2631578947368,245.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2702,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39444,443,6,0.008828,11,0,2702,3193,1746,54,245.63636363636363,479.0549926161017,0,0,0.0,0.0,667761.6674218395,2152.242863615768,0.0004904444444444,0.0004403285669969,0.001565,0,0.008828,0.0008828,0.000697879043961,0.002543,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1246.0353420933393,0.0,54,1746,310.2631578947368,470.39589620762536,221272.29916897503,2,3,2,8,15,0,0,0,0.7272727272727273,310.2631578947368,245.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2702,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39448,443,6,0.008069,11,0,2703,3193,1746,54,245.72727272727272,479.063497577037,0,0,0.0,0.0,730697.7320609741,2354.690791919693,0.0004482777777777,0.0004313107677708,0.001452,0,0.008069,0.0008068999999999,0.0006417264915834,0.002357,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1363.2420374271906,0.0,54,1746,310.3157894736842,470.3936820010256,221270.21606648204,2,3,2,8,15,0,0,0,0.7272727272727273,310.3157894736842,245.72727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2703,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39452,443,6,0.008896,11,0,2703,3193,1746,54,245.72727272727272,479.063497577037,0,0,0.0,0.0,662769.784172662,2135.791366906475,0.0004942222222222,0.0004349290562271,0.001443,0,0.008896,0.0008895999999999,0.0006835497348401,0.002425,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1236.5107913669065,0.0,54,1746,310.3157894736842,470.3936820010256,221270.21606648204,2,3,2,8,15,0,0,0,0.7272727272727273,310.3157894736842,245.72727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2703,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39456,443,6,0.00787,11,0,2702,3193,1746,54,245.63636363636363,479.0549926161017,0,0,0.0,0.0,749047.0139771283,2414.23125794155,0.0004372222222222,0.0004138497520646,0.001379,0,0.00787,0.000787,0.0006169538070228,0.002273,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1397.712833545108,0.0,54,1746,310.2631578947368,470.39589620762536,221272.29916897503,2,3,2,8,15,0,0,0,0.7272727272727273,310.2631578947368,245.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2702,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39470,443,6,0.008624,11,0,2703,3193,1746,54,245.72727272727272,479.063497577037,0,0,0.0,0.0,683673.4693877551,2203.1539888682746,0.0004791111111111,0.0004373256972007,0.001431,0,0.008624,0.0008623999999999,0.0006568092873886,0.002348,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1275.5102040816328,0.0,54,1746,310.3157894736842,470.3936820010256,221270.21606648204,2,3,2,8,15,0,0,0,0.7272727272727273,310.3157894736842,245.72727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2703,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39484,443,6,0.008299,11,0,2709,3193,1746,54,246.27272727272728,479.1181465433212,0,0,0.0,0.0,711170.0204843957,2289.4324617423786,0.0004610555555555,0.0004280888371227,0.001495,0,0.008299,0.0008299,0.0006416705463086,0.002376,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1325.4608989034823,0.0,54,1746,310.63157894736844,470.38262258968393,221259.81163434903,2,3,2,8,15,0,0,0,0.7272727272727273,310.63157894736844,246.27272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2709,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39490,443,6,0.008626,11,0,2702,3193,1746,54,245.63636363636363,479.0549926161017,0,0,0.0,0.0,683399.0261998608,2202.643171806168,0.0004792222222222,0.0004541867647608,0.00148,0,0.008626,0.0008626,0.0006489761474815,0.002421,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1275.2144678877812,0.0,54,1746,310.2631578947368,470.39589620762536,221272.29916897503,2,3,2,8,15,0,0,0,0.7272727272727273,310.2631578947368,245.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2702,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39500,443,6,0.007962,11,0,2702,3193,1746,54,245.63636363636363,479.0549926161017,0,0,0.0,0.0,740391.8613413714,2386.335091685506,0.0004423333333333,0.0004183913638369,0.001316,0,0.007962,0.0007962,0.0006245876719884,0.002297,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1381.562421502135,0.0,54,1746,310.2631578947368,470.39589620762536,221272.29916897503,2,3,2,8,15,0,0,0,0.7272727272727273,310.2631578947368,245.63636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2702,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39512,443,6,0.008601,11,0,2701,3193,1746,54,245.54545454545453,479.0466600231536,0,0,0.0,0.0,685269.1547494478,2209.0454598302526,0.0004778333333333,0.0004182631083155,0.001232,0,0.008601,0.0008601,0.0006151353428311,0.00217,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1278.9210556911987,0.0,54,1746,310.2105263157895,470.3982164022944,221274.48199445973,2,3,2,8,15,0,0,0,0.7272727272727273,310.2105263157895,245.54545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2701,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,39514,443,6,0.008178,11,0,2701,3193,1746,54,245.54545454545453,479.0466600231536,0,0,0.0,0.0,720714.1110295916,2323.306431890438,0.0004543333333333,0.0004088540897027,0.001384,0,0.008178,0.0008177999999999,0.0006055222208969,0.002297,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,220,0,1345.0721447786746,0.0,54,1746,310.2105263157895,470.3982164022944,221274.48199445973,2,3,2,8,15,0,0,0,0.7272727272727273,310.2105263157895,245.54545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2701,8,3193,65320,64768,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
