src_ip,dst_ip,src_port,dst_port,protocol,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,cwe_flag_count,ece_flag_cnt,down_up_ratio,pkt_size_avg,fwd_seg_size_avg,bwd_seg_size_avg,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,init_fwd_win_byts,init_bwd_win_byts,fwd_act_data_pkts,fwd_seg_size_min,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min,is_partial,Label
10.128.0.8,10.128.0.5,28115,23,6,9e-06,2,0,116,54,58,58,58.0,0.0,0,0,0.0,0.0,18888888.888888888,333333.3333333333,4.5e-06,4.5e-06,9e-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,222222.22222222225,0.0,54,58,56.66666666666666,1.8856180831641267,3.555555555555556,0,2,1,0,1,0,0,0,0.5,56.66666666666666,58.0,0.0,0.0,0.0,0.0,0,0,0,2,116,1,54,47481,0,0,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,28121,23,6,1.5e-05,2,0,116,54,58,58,58.0,0.0,0,0,0.0,0.0,11333333.333333334,200000.0,7.5e-06,7.5e-06,1.5e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0,133333.33333333334,0.0,54,58,56.66666666666666,1.8856180831641267,3.555555555555556,0,2,1,0,1,0,0,0,0.5,56.66666666666666,58.0,0.0,0.0,0.0,0.0,0,0,0,2,116,1,54,55772,0,0,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,53298,80,6,0.161483,5,0,676,717,239,66,135.2,84.75234510029797,0,0,0.0,0.0,8626.2950279596,55.73342085544609,0.020185375,0.0353862963657455,0.106725,0,0.1614519999999999,0.0403629999999999,0.0417081027679274,0.107651,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,100,0,30.96301158635893,0.0,66,519,154.77777777777777,146.86863198698487,21570.395061728395,2,0,0,3,9,0,0,0,0.8,154.77777777777777,135.2,0.0,0.0,0.0,0.0,0,0,0,5,676,4,717,511,505,2,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,53312,80,6,0.164,5,0,658,785,230,66,131.6,80.34326356328825,0,0,0.0,0.0,8798.780487804877,54.8780487804878,0.0204999999999999,0.0362481713297374,0.109418,0,0.16397,0.0409925,0.0428546646148351,0.110305,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,100,0,30.48780487804878,0.0,66,587,160.33333333333334,165.04006247642485,27238.22222222222,2,0,0,3,9,0,0,0,0.8,160.33333333333334,131.6,0.0,0.0,0.0,0.0,0,0,0,5,658,4,785,511,505,2,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,54818,443,6,0.152722,10,0,947,2167,237,66,94.7,53.03216005406531,0,0,0.0,0.0,20389.989654404737,111.31336677099569,0.009545125,0.0177370729753918,0.060958,0,0.152656,0.0169617777777777,0.0210070286638532,0.060958,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0,200,0,65.47845104176216,0.0,66,886,183.1764705882353,206.2306633485678,42531.0865051903,2,0,0,8,17,0,0,0,0.7,183.1764705882353,94.7,0.0,0.0,0.0,0.0,0,0,0,10,947,7,2167,501,493,3,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,53322,80,6,0.16449,5,0,628,1197,215,66,125.6,72.9947943349387,0,0,0.0,0.0,11094.89938598091,54.71457231442641,0.02056125,0.0361738194753816,0.109126,0,0.164461,0.04111525,0.0426434616170814,0.109974,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,100,0,30.39698461912578,0.0,66,999,202.77777777777777,288.004158063262,82946.39506172838,2,0,0,3,9,0,0,0,0.8,202.77777777777777,125.6,0.0,0.0,0.0,0.0,0,0,0,5,628,4,1197,511,505,2,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,50794,22,6,0.10953,6,0,436,363,86,66,72.66666666666667,9.428090415820634,0,0,0.0,0.0,7294.805076234821,100.429106180955,0.010953,0.0218962571824501,0.064321,0,0.109504,0.0219008,0.02682147549558,0.064321,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,120,0,54.779512462339085,0.0,66,97,72.63636363636364,10.789495963227193,116.41322314049587,2,0,0,4,11,0,0,0,0.8333333333333334,72.63636363636364,72.66666666666667,0.0,0.0,0.0,0.0,0,0,0,6,436,5,363,511,506,2,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,53332,80,6,0.164689,5,0,1560,717,681,66,312.0,301.2872383623309,0,0,0.0,0.0,13826.060028295757,54.648458609864655,0.020586125,0.0363040049183196,0.109858,0,0.164664,0.0411659999999999,0.042895266807656,0.110788,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,100,0,30.360254783258146,0.0,66,681,253.0,268.10818711855853,71882.0,2,0,0,3,9,0,0,0,0.8,253.0,312.0,0.0,0.0,0.0,0.0,0,0,0,5,1560,4,717,511,502,2,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,53338,80,6,0.164696,5,0,636,456,219,66,127.2,74.95438612916526,0,0,0.0,0.0,6630.397823869432,54.64613591101181,0.020587,0.0362557941748625,0.109618,0,0.164685,0.04117125,0.0428019745536055,0.110538,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,100,0,30.35896439500656,0.0,66,258,121.33333333333331,78.96975511056257,6236.222222222224,2,0,0,3,9,0,0,0,0.8,121.33333333333331,127.2,0.0,0.0,0.0,0.0,0,0,0,5,636,4,456,511,505,2,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
10.128.0.8,10.128.0.5,53340,80,6,0.164953,5,0,636,456,219,66,127.2,74.95438612916526,0,0,0.0,0.0,6620.067534388584,54.56099616254328,0.020619125,0.0362303805266985,0.109539,0,0.164935,0.04123375,0.0427547064448757,0.110499,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,100,0,30.311664534746264,0.0,66,258,121.33333333333331,78.96975511056257,6236.222222222224,2,0,0,3,9,0,0,0,0.8,121.33333333333331,127.2,0.0,0.0,0.0,0.0,0,0,0,5,636,4,456,511,505,2,20,0,0,0,0,0,0,0,0,1,Unknown/Anomaly
